240.82,160.27,16670.83
160.01,260.22,21755.49
140.71,220.1,21813.04
281.0,280.92,12960.4
100.58,260.22,20584.32
180.78,220.1,21381.94
260.77,140.11,13996.55
180.78,180.76,20837.71
220.01,220.1,19405.13
180.78,240.47,21433.12
180.78,240.47,21433.12
220.01,100.92,15949.07
180.78,280.92,21066.21
120.54,120.64,18909.98
240.82,220.1,17732.1
120.54,240.47,21473.19
281.0,220.1,13276.0
220.01,120.64,16893.13
120.54,200.81,21229.05
200.93,140.11,18834.84
300.23,220.1,10572.33
240.82,200.81,17537.85
160.01,300.32,21094.2
281.0,260.22,13225.45
220.01,140.11,17681.0
281.0,200.81,13082.58
160.01,200.81,21612.71
300.23,140.11,8846.89
300.23,300.32,9859.15
140.71,200.81,21619.46
240.82,260.22,17680.72
100.58,120.64,18122.56
160.01,220.1,21806.09
120.54,140.11,19696.95
260.77,180.76,15176.92
240.82,120.64,15219.28
260.77,300.32,15009.35
140.71,160.27,20752.26
120.54,160.27,20361.07
240.82,300.32,17019.71
100.58,220.1,20635.18
300.23,160.27,9511.25
240.82,240.47,17782.19
300.23,280.92,10255.68
